,dep_delay
313,10.0
314,-4.0
315,-3.0
316,-1.0
317,-1.0
318,-6.0
319,0.0
320,23.0
321,-7.0
322,4.0
323,-5.0
324,-7.0
325,2.0
326,-8.0
327,-2.0
328,11.0
329,-5.0
330,5.0
331,-6.0
332,0.0
333,-4.0
334,21.0
335,-2.0
336,-1.0
337,7.0
338,41.0
339,-5.0
340,0.0
341,55.0
342,-4.0
343,-5.0
344,-1.0
345,-3.0
346,-10.0
347,-2.0
348,21.0
349,71.0
350,6.0
351,3.0
352,2.0
353,37.0
354,5.0
355,-10.0
356,26.0
357,6.0
358,10.0
359,-1.0
360,-2.0
361,2.0
362,-8.0
363,-4.0
364,5.0
365,0.0
366,23.0
367,-5.0
368,-3.0
369,-2.0
370,9.0
371,-2.0
372,-4.0
373,77.0
374,-6.0
375,4.0
376,-4.0
377,22.0
378,13.0
379,0.0
380,16.0
381,21.0
382,-5.0
383,-4.0
384,-4.0
385,-2.0
386,-5.0
387,40.0
388,-1.0
389,5.0
390,6.0
391,57.0
392,2.0
393,6.0
394,8.0
395,70.0
396,0.0
397,39.0
398,-3.0
399,56.0
400,5.0
401,-1.0
402,-1.0
403,-1.0
404,26.0
405,-9.0
406,12.0
407,-3.0
408,-7.0
409,35.0
410,4.0
411,59.0
412,31.0
413,0.0
414,2.0
415,-9.0
416,-2.0
417,1.0
418,-6.0
419,0.0
420,-8.0
421,-1.0
422,-10.0
423,0.0
424,-9.0
425,3.0
426,-1.0
427,-9.0
428,-3.0
429,-5.0
430,3.0
431,-7.0
432,-4.0
433,-6.0
434,-6.0
435,-2.0
436,-4.0
437,-5.0
438,-4.0
439,1.0
440,-3.0
441,-3.0
442,-2.0
443,-2.0
444,5.0
445,1.0
446,2.0
447,115.0
448,-5.0
449,1.0
450,-6.0
451,-8.0
452,-3.0
453,18.0
454,-7.0
455,11.0
456,-4.0
457,-6.0
458,8.0
459,-2.0
460,38.0
461,2.0
462,50.0
463,-5.0
464,0.0
465,6.0
466,-8.0
467,-8.0
468,7.0
469,27.0
470,105.0
471,-4.0
472,-3.0
473,32.0
474,-6.0
475,12.0
476,-2.0
477,32.0
478,-1.0
479,0.0
480,38.0
481,32.0
482,11.0
483,4.0
484,16.0
485,-2.0
486,9.0
487,-6.0
488,2.0
489,122.0
490,-3.0
491,-7.0
492,0.0
493,6.0
494,2.0
495,88.0
496,64.0
497,1.0
498,0.0
499,-8.0
500,-8.0
501,-8.0
502,-8.0
503,-6.0
504,-5.0
505,-6.0
506,-4.0
507,-3.0
508,-3.0
509,24.0
510,119.0
511,-2.0
512,-6.0
513,-10.0
514,0.0
515,-3.0
516,16.0
517,13.0
518,3.0
519,-2.0
520,3.0
521,54.0
522,-5.0
523,12.0
524,84.0
525,33.0
526,8.0
527,-1.0
528,-5.0
529,-5.0
530,15.0
531,10.0
532,13.0
533,-6.0
534,0.0
535,33.0
536,3.0
537,35.0
538,-4.0
539,-4.0
540,88.0
541,-3.0
542,64.0
543,-2.0
544,42.0
545,-6.0
546,14.0
547,-4.0
548,1.0
549,-3.0
550,-3.0
551,8.0
552,5.0
553,-3.0
554,52.0
555,82.0
556,0.0
557,-9.0
558,32.0
559,6.0
560,10.0
561,35.0
562,1.0
563,12.0
564,-7.0
565,10.0
566,-6.0
567,34.0
568,-5.0
569,-5.0
570,0.0
571,-4.0
572,7.0
573,27.0
574,-2.0
575,-9.0
576,1.0
577,2.0
578,0.0
579,-5.0
580,2.0
581,7.0
582,8.0
583,21.0
584,36.0
585,71.0
586,-7.0
587,12.0
588,13.0
589,-6.0
590,-14.0
591,91.0
592,7.0
593,-3.0
594,8.0
595,-1.0
596,-5.0
597,-5.0
598,5.0
599,-4.0
600,-3.0
601,2.0
602,88.0
603,11.0
604,0.0
605,0.0
606,1.0
607,62.0
608,56.0
609,-7.0
610,-6.0
611,-1.0
612,70.0
613,-4.0
614,88.0
615,-6.0
616,24.0
617,-1.0
618,-1.0
619,-4.0
620,0.0
621,6.0
622,6.0
623,8.0
624,31.0
625,54.0
626,-2.0
627,-2.0
628,-2.0
629,9.0
630,0.0
631,0.0
632,0.0
633,-3.0
634,1.0
635,37.0
636,103.0
637,3.0
638,8.0
639,-4.0
640,-7.0
641,-1.0
642,12.0
643,74.0
644,-1.0
645,290.0
646,10.0
647,11.0
648,16.0
649,-3.0
650,0.0
651,-7.0
652,-6.0
653,-4.0
654,-4.0
655,16.0
656,-4.0
657,-2.0
658,23.0
659,1.0
660,9.0
661,-3.0
662,4.0
663,-6.0
664,34.0
665,70.0
666,4.0
667,-5.0
668,-5.0
669,260.0
670,13.0
671,-7.0
672,-2.0
673,8.0
674,61.0
675,-9.0
676,63.0
677,-11.0
678,-10.0
679,0.0
680,0.0
681,-7.0
682,24.0
683,-4.0
684,7.0
685,131.0
686,-3.0
687,1.0
688,-2.0
689,-1.0
690,-1.0
691,15.0
692,-1.0
693,-1.0
694,5.0
695,-9.0
696,-3.0
697,-1.0
698,1.0
699,0.0
700,15.0
701,1.0
702,-3.0
703,4.0
704,-5.0
705,11.0
706,-4.0
707,19.0
708,1.0
709,46.0
710,24.0
711,-5.0
712,25.0
713,16.0
714,-2.0
715,9.0
716,105.0
717,129.0
718,5.0
719,32.0
720,155.0
721,-1.0
722,35.0
723,1.0
724,157.0
725,5.0
726,16.0
727,50.0
728,-8.0
729,22.0
730,-5.0
731,-8.0
732,12.0
733,-3.0
734,29.0
735,-1.0
736,30.0
737,0.0
738,7.0
739,3.0
740,216.0
741,6.0
742,73.0
743,-7.0
744,121.0
745,-4.0
746,-2.0
747,10.0
748,36.0
749,42.0
750,2.0
751,-2.0
752,-10.0
753,-4.0
754,38.0
755,109.0
756,-5.0
757,-3.0
758,22.0
759,56.0
760,31.0
761,0.0
762,-15.0
763,-5.0
764,0.0
765,1.0
766,-1.0
767,5.0
768,27.0
769,0.0
770,11.0
771,-4.0
772,51.0
773,23.0
774,7.0
775,-2.0
776,-5.0
777,52.0
778,72.0
779,-4.0
780,-4.0
781,-3.0
782,-2.0
783,-2.0
784,-2.0
785,0.0
786,11.0
787,-6.0
788,-7.0
789,27.0
790,11.0
791,-6.0
792,50.0
793,5.0
794,255.0
795,6.0
796,109.0
797,-10.0
798,41.0
799,-3.0
800,-7.0
801,3.0
802,9.0
803,49.0
804,-9.0
805,5.0
806,2.0
807,-2.0
808,285.0
809,24.0
810,14.0
811,26.0
812,-12.0
813,47.0
814,141.0
815,24.0
816,30.0
817,-5.0
818,-5.0
819,62.0
820,21.0
821,22.0
822,15.0
823,192.0
824,83.0
825,116.0
826,37.0
827,379.0
828,-6.0
829,-6.0
830,-3.0
831,43.0
832,156.0
833,-2.0
834,-3.0
835,-5.0
836,7.0
837,-6.0
838,-6.0
839,-6.0
840,-6.0
841,-5.0
842,-5.0
843,-5.0
844,-4.0
845,-4.0
846,-8.0
847,-2.0
848,-2.0
849,-2.0
850,-1.0
851,0.0
852,-5.0
853,0.0
854,0.0
855,0.0
856,-5.0
857,0.0
858,2.0
859,3.0
860,4.0
861,5.0
862,-4.0
863,-4.0
864,-3.0
865,9.0
866,10.0
867,-5.0
868,11.0
869,12.0
870,-3.0
871,16.0
872,2.0
873,11.0
874,-8.0
875,24.0
876,-5.0
877,-4.0
878,-5.0
879,-4.0
880,-2.0
881,13.0
882,14.0
883,9.0
884,-1.0
885,20.0
886,-5.0
887,0.0
888,-3.0
889,2.0
890,4.0
891,-1.0
892,5.0
893,-3.0
894,7.0
895,6.0
896,0.0
897,-6.0
898,6.0
899,6.0
900,-6.0
901,-4.0
902,12.0
903,2.0
904,1.0
905,2.0
906,-6.0
907,-2.0
908,-6.0
909,3.0
910,-4.0
911,0.0
912,-5.0
913,-5.0
914,-5.0
915,-4.0
916,-9.0
917,-3.0
918,-1.0
919,30.0
920,0.0
921,0.0
922,-4.0
923,2.0
924,9.0
925,-1.0
926,4.0
927,35.0
928,-5.0
929,-8.0
930,9.0
931,12.0
932,12.0
933,-1.0
934,-6.0
935,0.0
936,-1.0
937,80.0
938,-3.0
939,10.0
940,-6.0
941,42.0
942,-2.0
943,9.0
944,0.0
945,-1.0
946,15.0
947,2.0
948,-4.0
949,0.0
950,-2.0
951,-4.0
952,34.0
953,2.0
954,-8.0
955,-7.0
956,-6.0
957,4.0
958,0.0
959,-2.0
960,1.0
961,-2.0
962,14.0
963,15.0
964,-1.0
965,-2.0
966,25.0
967,-9.0
968,-8.0
969,-8.0
970,7.0
971,79.0
972,-1.0
973,-5.0
974,-5.0
975,-4.0
976,-3.0
977,-2.0
978,3.0
979,-6.0
980,-10.0
981,31.0
982,-9.0
983,-1.0
984,-4.0
985,-3.0
986,-2.0
987,-7.0
988,-1.0
989,10.0
990,-4.0
991,-4.0
992,-9.0
993,0.0
994,0.0
995,-10.0
996,107.0
997,-3.0
998,7.0
999,13.0
1000,-2.0
1001,19.0
1002,-7.0
1003,0.0
1004,-1.0
1005,-1.0
1006,15.0
1007,-5.0
1008,-5.0
1009,-4.0
1010,-3.0
1011,36.0
1012,-8.0
1013,7.0
1014,-8.0
1015,-2.0
1016,-7.0
1017,-2.0
1018,-2.0
1019,-6.0
1020,-1.0
1021,155.0
1022,11.0
1023,34.0
1024,45.0
1025,-4.0
1026,-8.0
1027,-3.0
1028,39.0
1029,-3.0
1030,-4.0
1031,-9.0
1032,-2.0
1033,-1.0
1034,1.0
1035,3.0
1036,35.0
1037,0.0
1038,2.0
1039,46.0
1040,3.0
1041,-5.0
1042,20.0
1043,-3.0
1044,-3.0
1045,-3.0
1046,-2.0
1047,-2.0
1048,-1.0
1049,-2.0
1050,35.0
1051,14.0
1052,2.0
1053,-1.0
1054,-1.0
1055,0.0
1056,1.0
1057,-2.0
1058,3.0
1059,-6.0
1060,3.0
1061,9.0
1062,12.0
1063,7.0
1064,8.0
1065,5.0
1066,-6.0
1067,29.0
1068,-3.0
1069,49.0
1070,-1.0
1071,-1.0
1072,179.0
1073,-6.0
1074,5.0
1075,-5.0
1076,-4.0
1077,75.0
1078,23.0
1079,28.0
1080,63.0
1081,-6.0
1082,1.0
1083,0.0
1084,7.0
1085,9.0
1086,4.0
1087,-3.0
1088,-2.0
1089,56.0
1090,18.0
1091,1.0
1092,104.0
1093,15.0
1094,0.0
1095,-5.0
1096,51.0
1097,-1.0
1098,-2.0
1099,-7.0
1100,9.0
1101,-5.0
1102,-2.0
1103,-2.0
1104,-3.0
1105,0.0
1106,0.0
1107,17.0
1108,103.0
1109,19.0
1110,1.0
1111,9.0
1112,-5.0
1113,4.0
1114,-1.0
1115,0.0
1116,-3.0
1117,21.0
1118,21.0
1119,3.0
1120,-6.0
1121,-1.0
1122,10.0
1123,-5.0
1124,1.0
1125,-2.0
1126,-2.0
1127,-2.0
1128,16.0
1129,64.0
1130,-4.0
1131,-2.0
1132,3.0
1133,8.0
1134,-8.0
1135,0.0
1136,-2.0
1137,13.0
1138,-6.0
1139,46.0
1140,-4.0
1141,1.0
1142,14.0
1143,-4.0
1144,-3.0
1145,-7.0
1146,100.0
1147,-3.0
1148,-4.0
1149,-4.0
1150,-4.0
1151,-3.0
1152,-3.0
1153,12.0
1154,0.0
1155,1.0
1156,-13.0
1157,-6.0
1158,-6.0
1159,-6.0
1160,40.0
1161,12.0
1162,-5.0
1163,-8.0
1164,13.0
1165,-1.0
1166,-6.0
1167,65.0
1168,-5.0
1169,-9.0
1170,1.0
1171,-2.0
1172,-5.0
1173,1.0
1174,1.0
1175,11.0
1176,-3.0
1177,-1.0
1178,-4.0
1179,-2.0
1180,13.0
1181,-5.0
1182,-8.0
1183,2.0
1184,-7.0
1185,-9.0
1186,-4.0
1187,-2.0
1188,-4.0
1189,-4.0
1190,-4.0
1191,-2.0
1192,-2.0
1193,30.0
1194,-1.0
1195,-1.0
1196,15.0
1197,0.0
1198,1.0
1199,27.0
1200,4.0
1201,36.0
1202,0.0
1203,-3.0
1204,10.0
1205,3.0
1206,-3.0
1207,-7.0
1208,-4.0
1209,-3.0
1210,-9.0
1211,2.0
1212,15.0
1213,103.0
1214,-1.0
1215,25.0
1216,-5.0
1217,-5.0
1218,9.0
1219,5.0
1220,-2.0
1221,-4.0
1222,36.0
1223,39.0
1224,19.0
1225,-5.0
1226,0.0
1227,-5.0
1228,14.0
1229,224.0
1230,-4.0
1231,4.0
1232,-9.0
1233,5.0
1234,1.0
1235,-7.0
1236,-6.0
1237,-4.0
1238,4.0
1239,-4.0
1240,31.0
1241,-6.0
1242,-3.0
1243,0.0
1244,3.0
1245,-2.0
1246,-2.0
1247,-1.0
1248,0.0
1249,2.0
1250,5.0
1251,-2.0
1252,-8.0
1253,-3.0
1254,3.0
1255,-2.0
1256,14.0
1257,-5.0
1258,8.0
1259,-6.0
1260,-4.0
1261,-2.0
1262,-2.0
1263,90.0
1264,7.0
1265,268.0
1266,5.0
1267,34.0
1268,13.0
1269,-2.0
1270,14.0
1271,4.0
1272,4.0
1273,-2.0
1274,71.0
1275,21.0
1276,-4.0
1277,101.0
1278,-3.0
1279,-2.0
1280,0.0
1281,65.0
1282,-4.0
1283,-4.0
1284,2.0
1285,42.0
1286,-3.0
1287,-3.0
1288,3.0
1289,-3.0
1290,1.0
1291,43.0
1292,2.0
1293,5.0
1294,-6.0
1295,-5.0
1296,-8.0
1297,334.0
1298,-13.0
1299,0.0
1300,67.0
1301,25.0
1302,11.0
1303,29.0
1304,29.0
1305,29.0
1306,0.0
1307,-5.0
1308,46.0
1309,1.0
1310,-4.0
1311,0.0
1312,75.0
1313,9.0
1314,12.0
1315,7.0
1316,-3.0
1317,-3.0
1318,-11.0
1319,-7.0
1320,0.0
1321,-4.0
1322,-6.0
1323,11.0
1324,139.0
1325,-5.0
1326,-7.0
1327,3.0
1328,4.0
1329,-3.0
1330,-4.0
1331,34.0
1332,-4.0
1333,-4.0
1334,-2.0
1335,27.0
1336,-2.0
1337,3.0
1338,13.0
1339,-2.0
1340,-1.0
1341,-1.0
1342,0.0
1343,30.0
1344,0.0
1345,33.0
1346,21.0
1347,11.0
1348,8.0
1349,-3.0
1350,13.0
1351,-4.0
1352,15.0
1353,52.0
1354,17.0
1355,16.0
1356,-4.0
1357,-12.0
1358,14.0
1359,69.0
1360,3.0
1361,6.0
1362,1.0
1363,-6.0
1364,24.0
1365,0.0
1366,0.0
1367,-5.0
1368,8.0
1369,-4.0
1370,27.0
1371,17.0
1372,37.0
1373,99.0
1374,-1.0
1375,14.0
1376,0.0
1377,0.0
1378,33.0
1379,1.0
1380,1.0
1381,22.0
1382,13.0
1383,19.0
1384,5.0
1385,-4.0
1386,-5.0
1387,-4.0
1388,2.0
1389,7.0
1390,-3.0
1391,-2.0
1392,-1.0
1393,42.0
1394,128.0
1395,16.0
1396,0.0
1397,5.0
1398,0.0
1399,3.0
1400,-8.0
1401,2.0
1402,-6.0
1403,70.0
1404,-4.0
1405,-4.0
1406,-3.0
1407,-3.0
1408,-3.0
1409,28.0
1410,-2.0
1411,-2.0
1412,-2.0
1413,59.0
1414,0.0
1415,7.0
1416,1.0
1417,33.0
1418,-3.0
1419,-3.0
1420,46.0
1421,-2.0
1422,9.0
1423,4.0
1424,6.0
1425,-2.0
1426,-4.0
1427,337.0
1428,76.0
1429,19.0
1430,0.0
1431,11.0
1432,-3.0
1433,-3.0
1434,-7.0
1435,25.0
1436,6.0
1437,7.0
1438,62.0
1439,-2.0
1440,14.0
1441,4.0
1442,14.0
1443,101.0
1444,-4.0
1445,-3.0
1446,-3.0
1447,-3.0
1448,13.0
1449,-2.0
1450,-1.0
1451,-1.0
1452,2.0
1453,-3.0
1454,43.0
1455,-7.0
1456,19.0
1457,-4.0
1458,98.0
1459,7.0
1460,18.0
1461,19.0
1462,-4.0
1463,13.0
1464,0.0
1465,14.0
1466,-5.0
1467,0.0
1468,0.0
1469,-3.0
1470,-2.0
1471,-2.0
1472,1.0
1473,25.0
1474,22.0
1475,13.0
1476,3.0
1477,34.0
1478,5.0
1479,-4.0
1480,2.0
1481,8.0
1482,104.0
1483,12.0
1484,13.0
1485,14.0
1486,79.0
1487,-5.0
1488,15.0
1489,6.0
1490,32.0
1491,-1.0
1492,-6.0
1493,-10.0
1494,20.0
1495,22.0
1496,-6.0
1497,-1.0
1498,-2.0
1499,7.0
1500,-3.0
1501,91.0
1502,133.0
1503,-2.0
1504,-1.0
1505,-1.0
1506,9.0
1507,1.0
1508,-2.0
1509,67.0
1510,9.0
1511,-3.0
1512,11.0
1513,17.0
1514,-2.0
1515,-6.0
1516,13.0
1517,-5.0
1518,15.0
1519,-3.0
1520,-1.0
1521,-1.0
1522,-1.0
1523,85.0
1524,-4.0
1525,28.0
1526,32.0
1527,55.0
1528,-11.0
1529,0.0
1530,5.0
1531,-5.0
1532,181.0
1533,53.0
1534,75.0
1535,128.0
1536,10.0
1537,37.0
1538,-3.0
1539,75.0
1540,0.0
1541,0.0
1542,66.0
1543,102.0
1544,-7.0
1545,4.0
1546,85.0
1547,-5.0
1548,0.0
1549,97.0
1550,5.0
1551,22.0
1552,8.0
1553,67.0
1554,0.0
1555,40.0
1556,75.0
1557,-5.0
1558,1.0
1559,48.0
1560,3.0
1561,67.0
1562,-9.0
1563,-10.0
1564,-5.0
1565,15.0
1566,-2.0
1567,-2.0
1568,-1.0
1569,0.0
1570,67.0
1571,0.0
1572,15.0
1573,16.0
1574,2.0
1575,-3.0
1576,48.0
1577,0.0
1578,4.0
1579,33.0
1580,-1.0
1581,-1.0
1582,5.0
1583,10.0
1584,-6.0
1585,-5.0
1586,50.0
1587,-11.0
1588,-1.0
1589,120.0
1590,107.0
1591,28.0
1592,-1.0
1593,-1.0
1594,11.0
1595,-8.0
1596,-3.0
1597,-6.0
1598,-7.0
1599,-6.0
1600,-1.0
1601,-4.0
1602,-4.0
1603,-2.0
1604,-3.0
1605,3.0
1606,24.0
1607,0.0
1608,-3.0
1609,4.0
1610,-7.0
1611,-6.0
1612,-4.0
1613,0.0
1614,47.0
1615,52.0
1616,-2.0
1617,168.0
1618,-5.0
1619,12.0
1620,2.0
1621,27.0
1622,7.0
1623,9.0
1624,-7.0
1625,-1.0
1626,10.0
1627,12.0
1628,36.0
1629,-3.0
1630,22.0
1631,-7.0
1632,-11.0
1633,-5.0
1634,-4.0
1635,-1.0
1636,-1.0
1637,103.0
1638,-7.0
1639,109.0
1640,39.0
1641,37.0
1642,26.0
1643,-1.0
1644,31.0
1645,40.0
1646,5.0
1647,8.0
1648,12.0
1649,80.0
1650,-1.0
1651,6.0
1652,16.0
1653,8.0
1654,10.0
1655,53.0
1656,-6.0
1657,34.0
1658,25.0
1659,-4.0
1660,-2.0
1661,-1.0
1662,32.0
1663,17.0
1664,2.0
1665,-12.0
1666,8.0
1667,9.0
1668,180.0
1669,21.0
1670,17.0
1671,14.0
1672,-6.0
1673,3.0
1674,8.0
1675,-6.0
1676,-5.0
1677,-5.0
1678,10.0
1679,1.0
1680,27.0
1681,12.0
1682,-3.0
1683,24.0
1684,-2.0
1685,5.0
1686,2.0
1687,-4.0
1688,97.0
1689,34.0
1690,-5.0
1691,1.0
1692,13.0
1693,10.0
1694,12.0
1695,59.0
1696,-4.0
1697,1.0
1698,164.0
1699,39.0
1700,75.0
1701,7.0
1702,-7.0
1703,-11.0
1704,40.0
1705,82.0
1706,31.0
1707,14.0
1708,-6.0
1709,-6.0
1710,4.0
1711,0.0
1712,0.0
1713,0.0
1714,26.0
1715,19.0
1716,7.0
1717,74.0
1718,21.0
1719,3.0
1720,16.0
1721,158.0
1722,0.0
1723,-10.0
1724,71.0
1725,-4.0
1726,9.0
1727,14.0
1728,15.0
1729,-2.0
1730,-2.0
1731,0.0
1732,379.0
1733,-1.0
1734,2.0
1735,-4.0
1736,-3.0
1737,0.0
1738,140.0
1739,104.0
1740,105.0
1741,-5.0
1742,-5.0
1743,-7.0
1744,175.0
1745,-4.0
1746,-8.0
1747,-4.0
1748,65.0
1749,65.0
1750,119.0
1751,8.0
1752,69.0
1753,108.0
1754,125.0
1755,102.0
1756,62.0
1757,-8.0
1758,-5.0
1759,33.0
1760,185.0
1761,156.0
1762,-2.0
1763,-5.0
1764,2.0
1765,-5.0
1766,-2.0
1767,-10.0
1768,-8.0
1769,-7.0
1770,-7.0
1771,-5.0
1772,-5.0
1773,-4.0
1774,-4.0
1775,-4.0
1776,-4.0
1777,-9.0
1778,-4.0
1779,-4.0
1780,-3.0
1781,-3.0
1782,-1.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,1.0
1788,-2.0
1789,4.0
1790,-4.0
1791,-4.0
1792,-4.0
1793,-3.0
1794,-3.0
1795,-3.0
1796,-1.0
1797,-1.0
1798,5.0
1799,17.0
1800,3.0
1801,-8.0
1802,1.0
1803,24.0
1804,25.0
1805,-5.0
1806,-4.0
1807,-8.0
1808,-3.0
1809,-2.0
1810,-6.0
1811,-2.0
1812,-4.0
1813,-1.0
1814,-1.0
1815,-3.0
1816,1.0
1817,3.0
1818,-1.0
1819,-1.0
1820,9.0
1821,5.0
1822,11.0
1823,1.0
1824,-3.0
1825,-12.0
1826,-1.0
1827,-5.0
1828,-2.0
1829,-1.0
1830,-1.0
1831,-2.0
1832,-7.0
1833,-6.0
1834,-5.0
1835,-4.0
1836,-5.0
1837,-5.0
1838,-4.0
1839,-2.0
1840,-2.0
1841,-2.0
1842,3.0
1843,-2.0
1844,-2.0
1845,0.0
1846,2.0
1847,1.0
1848,-4.0
1849,4.0
1850,-2.0
1851,9.0
1852,28.0
1853,4.0
1854,-1.0
1855,1.0
1856,-8.0
1857,7.0
1858,-5.0
1859,-3.0
1860,-6.0
1861,68.0
1862,0.0
1863,-4.0
1864,1.0
1865,-1.0
1866,10.0
1867,2.0
1868,-1.0
1869,-5.0
1870,-3.0
1871,-2.0
1872,-6.0
1873,-1.0
1874,0.0
1875,2.0
1876,-3.0
1877,-4.0
1878,7.0
1879,-5.0
1880,0.0
1881,-3.0
1882,5.0
1883,-3.0
1884,-3.0
1885,-5.0
1886,-6.0
1887,-2.0
1888,-7.0
1889,-5.0
1890,-4.0
1891,11.0
1892,-3.0
1893,2.0
1894,-1.0
1895,-1.0
1896,-6.0
1897,-1.0
1898,-1.0
1899,0.0
1900,1.0
1901,-2.0
1902,-9.0
1903,2.0
1904,15.0
1905,-5.0
1906,0.0
1907,-4.0
1908,-3.0
1909,-2.0
1910,-6.0
1911,0.0
1912,-7.0
1913,1.0
1914,-4.0
1915,-3.0
1916,-1.0
1917,0.0
1918,-2.0
1919,18.0
1920,-3.0
1921,-6.0
1922,-4.0
1923,12.0
1924,-8.0
1925,-4.0
1926,-4.0
1927,-4.0
1928,0.0
1929,-3.0
1930,-2.0
1931,-6.0
1932,-4.0
1933,-5.0
1934,5.0
1935,-4.0
1936,-2.0
1937,0.0
1938,0.0
1939,-1.0
1940,-8.0
1941,-3.0
1942,10.0
1943,17.0
1944,2.0
1945,-1.0
1946,-5.0
1947,-7.0
1948,26.0
1949,6.0
1950,2.0
1951,-2.0
1952,-5.0
1953,21.0
1954,24.0
1955,111.0
1956,-4.0
1957,-2.0
1958,-6.0
1959,-5.0
1960,144.0
1961,-3.0
1962,-5.0
1963,-5.0
1964,-12.0
1965,36.0
1966,-3.0
1967,-3.0
1968,-3.0
1969,-2.0
1970,-2.0
1971,39.0
1972,-1.0
1973,3.0
1974,0.0
1975,-3.0
1976,-4.0
1977,1.0
1978,-2.0
1979,1.0
1980,4.0
1981,-1.0
1982,0.0
1983,129.0
1984,-6.0
1985,1.0
1986,0.0
1987,5.0
1988,11.0
1989,102.0
1990,-7.0
1991,9.0
1992,14.0
1993,-6.0
1994,71.0
1995,-3.0
1996,-6.0
1997,-7.0
