arxiv_id,category,field,title,abstract
2607.04916v1,astro-ph.GA,Astrophysics,HRMOS: A High-Resolution Multi-Object Spectrograph for the VLT,"This White Paper presents the scientific rationale and instrument concept for HRMOS (High-Resolution Multi-Object Spectrograph), a next-generation instrument proposed for the ESO Very Large Telescope within the VLT 2030 roadmap. Current and planned facilities offer either multi-object spectroscopy or ultra-high spectral resolution, but not both. HRMOS fills this gap by combining very high spectral resolution, multi-object capability, and radial-velocity stability, enabling transformative studies in Galactic and extragalactic astrophysics. The baseline design provides a resolving power of R = 80000, radial-velocity precision of 10 m s-1 (goal: 5 m s-1), simultaneous observations of 50-60 targets, and broad optical coverage down to 385 nm. These capabilities enable precise measurements of elemental abundances, isotopic ratios, line profiles, and radial velocities for large stellar samples, including crowded fields, star clusters, the Galactic bulge, and nearby dwarf galaxies. HRMOS will address key questions on the age of the oldest stellar populations through nucleocosmochronology, the formation and survival of planetary systems, the assembly history of the Milky Way and satellites, the origin of the heaviest elements, stellar evolution, and the chemical and dynamical properties of the interstellar and circumgalactic medium. It will bridge large spectroscopic surveys and the next generation of extremely large telescopes, with strong synergies with 4MOST, Gaia, TESS, PLATO, the proposed Haydn mission, and future ELT instruments. Building on VLT/FLAMES heritage, HRMOS represents a strategic investment for European astronomy in the 2030s."
2607.04901v1,astro-ph.GA,Astrophysics,FRANZ: Framework for analytical one-zone blastwave dynamics,"(abridged) We develop a flexible analytical framework for modeling blastwave evolution in arbitrary environments and use it to investigate how large-scale galactic structure affects the dynamics and morphology of evolved SNRs and SBs. We introduce FRANZ (FRamework for ANalytical one-Zone blastwave dynamics), a modular thin-shell model that follows the local evolution of a shock-surface segment in environments characterized by arbitrary density, velocity and gravitational fields. After validating the model against well-established analytical results, we apply it to study the effects of vertical stratification, galactic shear and dense galactic substructure on blastwave evolution. FRANZ reproduces the classical evolution of blastwaves in uniform media while extending to complex environments. We derive criteria for disk break out in stratified media, characterize the timescales on which differential rotation deforms blastwaves and identify a new mechanism, by which it can suppress the momentum coupling in continuously-driven blastwaves. Interactions with dense filaments modify both shock-surface morphology and dynamics and confound the interpretation of the expansion history of observed remnants, which depends on the density distribution prior to the onset of explosions, which is fundamentally inaccessible from the observed state. In highly structured media with a high volume-filling factor of diffuse gas, ages inferred from the observed state may be systematically overestimated. FRANZ provides a computationally inexpensive and extensible framework for studying blastwaves in realistic galactic environments. It offers a useful complement to numerical simulations for interpreting observations of evolved SNRs and SBs and for developing improved models of stellar feedback in large-scale simulations."
2607.04883v1,astro-ph.GA,Astrophysics,Shared star formation in the Milky Way and Magellanic Clouds,"We investigate the structural and evolutionary similarities between star formation patterns in different environments by comparing the dense clump populations in the Milky Way (MW) from the ATLASGAL survey with those from the \textit{Herschel} HERITAGE survey in the Magellanic Clouds (MCs). Our analysis reveals that MW and MC clumps behave as physical analogs, sharing consistent dust temperature distributions, mass spectra, and luminosity evolutionary trends. We establish that the warmest MC clumps and the most distant MW clumps share an identical fiducial parent structure bounded by a natural spatial scale of $\sim 1$~parsec, serving as the direct precursors to open clusters. Closer MW clumps are resolved into discrete sub-clumps, whereas colder MC clumps suffer from peripheral envelope mass blending. Furthermore, the global spatial layout of clumps in the LMC and the MW shares a remarkably similar pattern when adjusting for galaxy size, suggesting a nested, hierarchical distribution. The clump-based star formation rates are calibrated to be $\sim 0.4~M_\odot\,\rm yr^{-1}$ for the LMC and $\sim 0.1~M_\odot\,\rm yr^{-1}$ for the SMC, confirming that the LMC is currently experiencing an active, ongoing star formation burst captured within a short ($< 10^6$~yr) snapshot timescale."
2607.04822v1,astro-ph.GA,Astrophysics,ALMA observations of Magnetic Fields in the Massive Star-forming Region IRAS 18360-0537,"Assessing the significance of magnetic fields in high-mass star formation remains one of the most challenging topics in astrophysics. In this study, we present full polarization observations obtained from the Atacama Large Millimeter/Submillimeter Array (ALMA) of the high-mass star-forming region IRAS18360-0537. The polarized dust emission at 1.3 mm reveals a clear hourglass-shaped morphology of the magnetic field. Interestingly, the magnetic field orientation is nearly perpendicular to both the outflow and core rotation axes, while it aligns with the elongation of the core. This orientation poses challenges for interpretation, particularly in light of the strong magnetic field strength estimated using the Davis-Chandrasekhar-Fermi method. Several scenarios provide insights into the underlying reasons for this magnetic field morphology. A clear velocity gradient seen in high-density tracing of molecular spectral lines indicates that the core is fast-rotating. The curved outskirts of the magnetic fields coincide with the outflow cavity, suggesting a possible influence from the outflow. The accretion flows along the core's elongation are also notable. Our study shows that the morphology of the magnetic field is probably highly influenced by the gas bulk motions."
2607.04797v1,astro-ph.GA,Astrophysics,Sutra : An integrated framework for identification and characterization of filaments in the interstellar medium,"Observations of the interstellar medium (ISM) at Far-infrared(FIR) and sub-millimetre (sub-mm) wavelengths reveal a complex filamentary structure of dust and gas, which plays a pivotal role in both low and high mass star formation. Large scale identification and characterization of filaments is crucial to establish a link between the ISM and the star formation. We present Sutra, a machine learning based framework that unifies filament identification and beam-scale physical characterization within a single automated pipeline. The framework employs a U-Net architecture to perform supervised segmentation on column density maps and is trained on five nearby (<500pc) molecular clouds from the Herschel Gould Belt Survey (HGBS), using consensus skeletons constructed from the union of filaments identified by DisPerSE and getsf. Rather than reproducing broad intensity-based masks, Sutra predicts crest-likelihood maps focused on filament spines. Beyond identification, Sutra characterizes the filaments at the beam resolution by extracting radial profiles perpendicular to the crest and deriving local structural parameters. The framework provides a parameter-free, computationally efficient approach for consistent filaments identification and systematic investigation of their local properties and shows stable behaviour across varying background conditions in controlled synthetic tests. We demonstrate its application on selected regions from Aquila, Orion and Polaris molecular clouds, and compare the derived filament characteristics with those obtained using existing algorithms. Sutra robustly recovers filamentary structures consistent with cylindrical profiles, including in relatively low-intensity and low-contrast environments, making it well suited for both region-specific studies and large-scale statistical analyses of early-stage star formation and ISM structure."
2607.04705v1,astro-ph.GA,Astrophysics,A new model of quasar mass evolution,"Magnetic monopoles have been a trending topic among physicists and astronomers since the 1930s. Researchers have been working hard to find evidence of magnetic monopoles in laboratories. The existence of magnetic monopoles can rationally explain the stability of charges, the quantization of charges, the structure of leptons, the unified composition of leptons and hadrons, and the symmetry of leptons and quarks. The presence of these mysterious particles in the universe could have significant implications for theoretical physics and astrophysics. The Grand Unified Theory has also predicted the existence of magnetic monopoles, which is interestingly implied by some astronomical observations. Noticing that the growth of supermassive black holes in the early universe is an increasingly challenging difficulty faced by astronomers, here we argue that it could be solved with the help of magnetic monopoles. As suggested by Peng et al. in A Monopole Model for Galactic Nuclei. In: Structure and Evolution of Active Galactic Nuclei, vol. 121, p. 663 (1986), quasars containing magnetic monopoles at the center can continuously catalyze the decay of protons to release energy. We examine this model by using quasar data from the Sloan digital sky survey. It is shown that the initial mass distribution of quasars derived from the magnetic monopole model exhibits a Gaussian distribution. At the same time, the initial mass function is also slightly higher than previously expected, which could be verified by future observations."
2607.04666v1,astro-ph.GA,Astrophysics,Observational Study of Multi-wavelength Synergistic Effects in 3C 120,"The energy dissipation and particle acceleration mechanisms within relativistic jets remain fundamental questions in active galactic nuclei (AGN) research. In this paper, we present a comprehensive 13-year (2012-2025) multi-wavelength study of the broad-line radio galaxy 3C 120, utilizing Fermi-LAT ($γ$-ray), ASAS-SN (optical), and high-resolution VLBA (15 GHz and 43 GHz) monitoring. Cross-correlation analyses reveal that $γ$-ray flares lead radio emission by $11.08_{-1.88}^{+4.03}$ months at 15 GHz and $8.27_{-5.55}^{+3.45}$ months at 43 GHz. This frequency-dependent temporal hierarchy positions the high-energy dissipation zone upstream of the radio core, corroborating the opacity-driven core-shift effect. By tracking the parsec-scale jet morphology during major $γ$-ray flaring epochs, we demonstrate that radio outbursts systematically coincide with compact core brightening, pronounced surges in polarized flux, abrupt electric vector position angle rotations, and the subsequent ejection of superluminal knots. Ultimately, our internal radio correlations suggest that jet dynamics are governed by a dual mechanism: long-term kinematic and flux baseline variations are geometrically modulated by a secular jet precession, while rapid, highly energetic polarimetric bursts are driven by short-lived internal shocks propagating down the jet channel."
2607.04437v1,astro-ph.GA,Astrophysics,Turbulent Magnetogenesis and Large-scale Magnetic Dynamo Amplification in Ion--electron Plasmas,"Using fully kinetic simulations that capture unprecedentedly large (from electron to ion) scales, we study magnetogenesis driven by continuous large-scale forcing until nonlinear dynamo saturation. We uncover a two-stage mechanism in collisionless ion-electron plasmas whose dynamics diverge dramatically from the pair-plasma case. In the first phase, electron pressure anisotropy triggers electron-Weibel modes, seeding small-scale magnetic fields. Then, a second growth phase emerges when the more massive ions develop their own strong anisotropy and drive ion-Weibel-type modes; concurrently, a Biermann-battery mechanism contributes to amplifying the magnetic field. This combined dynamics provides a tenfold amplification of the magnetic field in comparison to the pair-plasma case. Over long times, dynamo action continues until the system reaches a statistical steady state. This self-consistent kinetic mechanism provides a plausible explanation for robust magnetogenesis wherever an external forcing continuously stirs the plasma."
2607.04328v1,astro-ph.GA,Astrophysics,Radio Activity Across Accretion State Changes in Changing-look AGNs: Insights from FIRST and VLASS over Two Decades,"Changing-look active galactic nuclei (CL-AGNs) provide a unique opportunity to probe the coupling between accretion flows and relativistic jets in supermassive black holes. We investigate the long-term radio behavior of CL-AGNs over approximately 20 years by combining FIRST and VLASS observations with quasi-simultaneous optical spectroscopy and photometry. From a parent sample of 1092 CL-AGNs, we identify 58 sources with radio detections. Radio-detected CL-AGNs exhibit systematically higher radio kinetic efficiency, quantified by \(P_{\rm j}/L_{\rm bol}\), than both typical radio-detected AGNs and radio transients, consistent with their preference for low Eddington ratios. At the population level, the expected anti-correlation between radio emission and accretion rate is weak. However, a clear source-by-source anti-correlation emerges in a small subset of CL-AGNs with continuous multi-epoch coverage. We further identify four radio transients, including both radio turn-on and turn-off events, and one source exhibiting a multiwavelength flare that may be indicative of tidal disruption event-like activity. These results suggest that radio activity in CL-AGNs is not governed by instantaneous accretion state changes but is instead regulated by long-term accretion history and jet evolution, with additional stochastic or transient channels contributing in rare cases."
2607.04286v1,astro-ph.GA,Astrophysics,Euclid Q1 reveals spatial variations of the extinction law in the dense cloud LDN 1641,"Dust extinction laws are essential for precision photometry and provide a direct probe of grain properties, but their behaviour in dense molecular clouds remains poorly constrained at high extinction. Using Euclid Quick Data Release 1 (Q1) imaging of the Orion A dark cloud Lynds Dark Nebula 1641 (LDN 1641), we measured the extinction law from the broad Visible Instrument (VIS) band and the Near-Infrared Spectrometer and Photometer (NISP) $Y$, $J$, and $H$ bands along sightlines reaching $A_V\sim 30$ mag towards the cloud core. We derived colour-excess ratios $E(λ-H)/E(Y-H)$ from linear fits to colour--colour diagrams of $(λ-H)$ versus $(Y-H)$ and converted them into relative extinctions, $A_λ/A_H$. The near-infrared extinction in LDN 1641 is well described by a power law, $A_λ\propto λ^{-α}$, with $α=1.57 \pm 0.06$, corresponding to $A_{\rm VIS}/A_H=4.23 \pm 0.24$, $A_Y/A_H=2.13 \pm 0.18$, and $A_J/A_H=1.47 \pm 0.11$. We further find significant spatial variations: $α$ changes by up to $27\%$, with systematically smaller values and therefore flatter extinction curves in higher-extinction regions. This flattening is consistent with an enhanced large-grain population and supports substantial grain growth from the diffuse outskirts to the dense core of a single molecular cloud."
2607.04248v1,astro-ph.GA,Astrophysics,Measurements of magnetic fields in circumnuclear matter with the SKA telescopes,"Magnetic fields are thought to regulate the angular momentum transfer in active galactic nuclei (AGNs), yet their strength and structure in circumnuclear regions remain poorly constrained across spatial scales and gas phases. We present a unified observational framework for probing circumnuclear magnetic fields using complementary diagnostics: direct measurements via the Zeeman effect in HI absorption and megamaser emission, and indirect constraints from broadband Faraday rotation of polarized continuum radiation. These approaches provide access to magnetized gas spanning spatial scales from ~100 parsec (pc) circumnuclear disks down to sub-pc regions near supermassive black holes (SMBHs). The Square Kilometre Array (SKA) telescopes are expected to revolutionize such investigations through their outstanding sensitivities, wide frequency ranges and high spatial resolutions achievable via very long baseline interferometry (VLBI). These capabilities will enable the detection and detailed characterization of weakly polarized emission from magnetized circumnuclear matter, which has remained largely inaccessible with current instruments. In this chapter, we review previous measurements of magnetic fields in galactic nuclei and discuss the breakthroughs that SKA observations are expected to provide in elucidating the physical conditions and processes shaping AGN environments."
2607.04216v1,astro-ph.GA,Astrophysics,There and back again: the quasi-interstellar objects,"A population of interstellar objects (ISOs) exist that originate from the Solar System, rather than from other stars. Such a foreground could challenge straightforward analysis of the ISO sample expected to be gathered by upcoming sky surveys. We assess whether small bodies unbound from the Solar System can experience dynamical evolution in the Galactic potential that places them on re-encounter trajectories. We find that these 'quasi-interstellar objects' (quasi-ISOs) primarily depart the Solar System through erosion of the outer Oort cloud in the past few hundred Myr, excluding the most recent ~10 Myr. After orbiting in the Milky Way potential nearby the Sun but beyond the tidal radius, those ejected on certain orbits can re-encounter the Solar System. Meanwhile, the larger population of ISOs produced by the Solar System early in its life will be too spread-out in the Galaxy to contribute significantly to the observed sample. We predict that quasi-ISOs will be intrinsically rare and have $v_\infty$ values of order 0.1 km s$^{-1}$, easily distinguishable from ISOs from other stars, meaning that the observed ISO sample will be truly Galactic. The detection of a quasi-ISO would imply larger-than-expected losses from the Oort cloud, or a particularly catastrophic erosion event 10-300 Myr ago that would not be detectable any other way."
2607.04176v1,astro-ph.GA,Astrophysics,Star-forming clump detection in nearby galaxies using Faster R-CNN and $ugrizy$ imaging data from CLAUDS and HSC-SSP,"Giant Star-forming Clumps (GSFCs) are kpc-scale regions of enhanced star-formation with stellar masses of $10^7$ to $10^9\,M_\odot$ that are commonly observed in high-redshift galaxies but are rarely detected in low-redshift ($z\lesssim0.5$) galaxy analogues. However, the availability of wide-field galaxy survey data makes it possible to identify potential star-forming clumps in large samples of low-redshift galaxies using object detection models that are based on Deep Learning (DL) techniques. We apply a novel DL-based object detection model to galaxies observed by the Hyper Suprime-Cam Subaru Strategic Survey (HSC-SSP) and CFHT Large Area U-band Deep Survey (CLAUDS). Our model is based on the the Faster Region-Based Convolutional Neural Network (Faster R-CNN or FRCNN) object detection framework but expanded to process the six $ugrizy$ filter band images simultaneously and identify not only clumps and their locations in the host galaxy but also additional contaminants. By adopting the \textsc{Zoobot} foundation DL-model as a feature extraction backbone, we also demonstrate one of the first applications of \textsc{Zoobot} in a downstream task for object detection. Our model achieves a detection completeness of $\gtrsim 0.9$ and purity of $\gtrsim 0.8$ which were validated on a large set of real galaxies into which simulated clumps were injected."
